Incident Number,Close Code
20037394,    
20242617, WCB
20101755,ABAN
20134702,ABAN
20171533,ABAN
20203256,ABAN
20265853,ABAN
20002378,ACC 
20002481,ACC 
20006355,ACC 
20009470,ACC 
20009902,ACC 
20010951,ACC 
20011282,ACC 
20011947,ACC 
20012443,ACC 
20017889,ACC 
20023666,ACC 
20030305,ACC 
20033294,ACC 
20033303,ACC 
20035263,ACC 
20036278,ACC 
20037087,ACC 
20039206,ACC 
20041125,ACC 
20043983,ACC 
20045711,ACC 
20047932,ACC 
20048020,ACC 
20050628,ACC 
20050697,ACC 
20051327,ACC 
20058848,ACC 
20059958,ACC 
20060692,ACC 
20060773,ACC 
20060880,ACC 
20063217,ACC 
20068947,ACC 
20071427,ACC 
20074309,ACC 
20075699,ACC 
20079896,ACC 
20081184,ACC 
20083405,ACC 
20087179,ACC 
20087924,ACC 
20088062,ACC 
20088750,ACC 
20089430,ACC 
20091113,ACC 
20091762,ACC 
20092579,ACC 
20092582,ACC 
20093062,ACC 
20095014,ACC 
20098173,ACC 
20099720,ACC 
20102354,ACC 
20102356,ACC 
20102376,ACC 
20104492,ACC 
20108548,ACC 
20109258,ACC 
20109277,ACC 
20110257,ACC 
20112576,ACC 
20118285,ACC 
20120807,ACC 
20121510,ACC 
20121575,ACC 
20123704,ACC 
20123862,ACC 
20124519,ACC 
20124817,ACC 
20126229,ACC 
20127033,ACC 
20127954,ACC 
20128577,ACC 
20130084,ACC 
20130257,ACC 
20131396,ACC 
20137810,ACC 
20138821,ACC 
20140108,ACC 
20143779,ACC 
20145041,ACC 
20146893,ACC 
20147802,ACC 
20148177,ACC 
20148627,ACC 
20148700,ACC 
20155172,ACC 
20156353,ACC 
20166957,ACC 
20168345,ACC 
20169748,ACC 
20170400,ACC 
20171993,ACC 
20173192,ACC 
20173383,ACC 
20174635,ACC 
20179453,ACC 
20179480,ACC 
20180524,ACC 
20181160,ACC 
20186171,ACC 
20188928,ACC 
20194057,ACC 
20196743,ACC 
20197823,ACC 
20198616,ACC 
20213068,ACC 
20218936,ACC 
20219533,ACC 
20221701,ACC 
20223852,ACC 
20227029,ACC 
20228760,ACC 
20230214,ACC 
20231571,ACC 
20233260,ACC 
20234082,ACC 
20234167,ACC 
20234965,ACC 
20239683,ACC 
20251314,ACC 
20254170,ACC 
20254801,ACC 
20258519,ACC 
20259541,ACC 
20260863,ACC 
20261492,ACC 
20261513,ACC 
20263821,ACC 
20264715,ACC 
20264748,ACC 
20266521,ACC 
20267325,ACC 
20267332,ACC 
20268330,ACC 
20271360,ACC 
20275670,ACC 
20277779,ACC 
20280988,ACC 
20282897,ACC 
20284489,ACC 
20284881,ACC 
20286824,ACC 
20290591,ACC 
20292782,ACC 
20293454,ACC 
20299238,ACC 
20302576,ACC 
20304440,ACC 
20305897,ACC 
20308559,ACC 
20310887,ACC 
20311326,ACC 
20311669,ACC 
20312991,ACC 
20313139,ACC 
20314075,ACC 
20316729,ACC 
20316949,ACC 
20317707,ACC 
20317931,ACC 
20322263,ACC 
20322716,ACC 
20025094,ACTT
20000014,ADVI
20000017,ADVI
20000036,ADVI
20000134,ADVI
20000189,ADVI
20000272,ADVI
20000366,ADVI
20000369,ADVI
20000409,ADVI
20000775,ADVI
20000805,ADVI
20000895,ADVI
20000975,ADVI
20001050,ADVI
20001195,ADVI
20001241,ADVI
20001361,ADVI
20001416,ADVI
20001468,ADVI
20001698,ADVI
20001741,ADVI
20001777,ADVI
20001866,ADVI
20001872,ADVI
20001877,ADVI
20001962,ADVI
20001982,ADVI
20002280,ADVI
20002548,ADVI
20002728,ADVI
20002834,ADVI
20002866,ADVI
20002904,ADVI
20002955,ADVI
20003016,ADVI
20003080,ADVI
20003128,ADVI
20003337,ADVI
20003425,ADVI
20003634,ADVI
20003665,ADVI
20003691,ADVI
20003696,ADVI
20003739,ADVI
20003793,ADVI
20003799,ADVI
20003846,ADVI
20004013,ADVI
20004235,ADVI
20004250,ADVI
20004267,ADVI
20004385,ADVI
20004480,ADVI
20004484,ADVI
20004536,ADVI
20004541,ADVI
20004549,ADVI
20004562,ADVI
20004622,ADVI
20005222,ADVI
20005313,ADVI
20005325,ADVI
20005387,ADVI
20005398,ADVI
20005403,ADVI
20005414,ADVI
20005516,ADVI
20005872,ADVI
20005997,ADVI
20006052,ADVI
20006327,ADVI
20006437,ADVI
20006712,ADVI
20006749,ADVI
20006884,ADVI
20006885,ADVI
20006960,ADVI
20006990,ADVI
20007085,ADVI
20007131,ADVI
20007155,ADVI
20007311,ADVI
20007385,ADVI
20007475,ADVI
20007480,ADVI
20007642,ADVI
20007940,ADVI
20008009,ADVI
20008152,ADVI
20008211,ADVI
20008260,ADVI
20008396,ADVI
20008655,ADVI
20008703,ADVI
20008748,ADVI
20008925,ADVI
20008970,ADVI
20009004,ADVI
20009009,ADVI
20009050,ADVI
20009127,ADVI
20009529,ADVI
20009542,ADVI
20009635,ADVI
20009991,ADVI
20010226,ADVI
20010248,ADVI
20010299,ADVI
20010408,ADVI
20010525,ADVI
20010540,ADVI
20010887,ADVI
20010969,ADVI
20011045,ADVI
20011384,ADVI
20011385,ADVI
20011802,ADVI
20011818,ADVI
20011972,ADVI
20011981,ADVI
20012062,ADVI
20012514,ADVI
20012614,ADVI
20012643,ADVI
20012707,ADVI
20012828,ADVI
20012839,ADVI
20012863,ADVI
20012896,ADVI
20012912,ADVI
20012939,ADVI
20012996,ADVI
20013031,ADVI
20013158,ADVI
20013168,ADVI
20013405,ADVI
20013426,ADVI
20013820,ADVI
20013825,ADVI
20013830,ADVI
20013957,ADVI
20013960,ADVI
20014189,ADVI
20014346,ADVI
20014350,ADVI
20014366,ADVI
20014807,ADVI
20014808,ADVI
20014888,ADVI
20014932,ADVI
20015142,ADVI
20015149,ADVI
20015175,ADVI
20015204,ADVI
20015511,ADVI
20015615,ADVI
20015717,ADVI
20015746,ADVI
20015787,ADVI
20016038,ADVI
20016068,ADVI
20016144,ADVI
20016309,ADVI
20016366,ADVI
20016439,ADVI
20016447,ADVI
20016481,ADVI
20016520,ADVI
20016573,ADVI
20016634,ADVI
20016672,ADVI
20016718,ADVI
20016763,ADVI
20016801,ADVI
20016823,ADVI
20016854,ADVI
20016966,ADVI
20016968,ADVI
20016979,ADVI
20017071,ADVI
20017131,ADVI
20017159,ADVI
20017224,ADVI
20017241,ADVI
20017254,ADVI
