Incident Number,Close Code
22013261,ABAN
22075816,ABAN
22131110,ABAN
22213240,ABAN
22267606,ABAN
22267873,ABAN
22277575,ABAN
22002756,ACC 
22003588,ACC 
22005076,ACC 
22005267,ACC 
22011727,ACC 
22012572,ACC 
22012872,ACC 
22012939,ACC 
22013707,ACC 
22017741,ACC 
22018311,ACC 
22018729,ACC 
22019592,ACC 
22022053,ACC 
22023086,ACC 
22024852,ACC 
22025788,ACC 
22027711,ACC 
22027842,ACC 
22027930,ACC 
22029214,ACC 
22030342,ACC 
22031207,ACC 
22031897,ACC 
22045079,ACC 
22048652,ACC 
22049744,ACC 
22050036,ACC 
22050667,ACC 
22051016,ACC 
22056385,ACC 
22057474,ACC 
22066896,ACC 
22067896,ACC 
22068649,ACC 
22073753,ACC 
22075716,ACC 
22076931,ACC 
22077202,ACC 
22087612,ACC 
22090645,ACC 
22090719,ACC 
22090774,ACC 
22090777,ACC 
22094772,ACC 
22095837,ACC 
22095973,ACC 
22098407,ACC 
22099503,ACC 
22100340,ACC 
22101280,ACC 
22103157,ACC 
22105853,ACC 
22109838,ACC 
22111166,ACC 
22111298,ACC 
22118474,ACC 
22119375,ACC 
22121215,ACC 
22121864,ACC 
22125806,ACC 
22128296,ACC 
22128603,ACC 
22137478,ACC 
22141922,ACC 
22146993,ACC 
22147635,ACC 
22147866,ACC 
22148715,ACC 
22153057,ACC 
22153315,ACC 
22154398,ACC 
22156248,ACC 
22157921,ACC 
22158948,ACC 
22160876,ACC 
22165897,ACC 
22167002,ACC 
22168995,ACC 
22177912,ACC 
22178213,ACC 
22179927,ACC 
22184197,ACC 
22185247,ACC 
22188991,ACC 
22192141,ACC 
22194864,ACC 
22194995,ACC 
22195016,ACC 
22199166,ACC 
22203906,ACC 
22206899,ACC 
22213239,ACC 
22215391,ACC 
22222120,ACC 
22222143,ACC 
22233779,ACC 
22234723,ACC 
22237543,ACC 
22241911,ACC 
22242740,ACC 
22242861,ACC 
22246543,ACC 
22251341,ACC 
22251671,ACC 
22255957,ACC 
22257527,ACC 
22260736,ACC 
22260778,ACC 
22261048,ACC 
22261343,ACC 
22261592,ACC 
22261606,ACC 
22262458,ACC 
22267669,ACC 
22274337,ACC 
22274358,ACC 
22281221,ACC 
22283774,ACC 
22289430,ACC 
22314125,ACC 
22315201,ACC 
22325158,ACC 
22327888,ACC 
22328678,ACC 
22328798,ACC 
22331675,ACC 
22334524,ACC 
22334710,ACC 
22338846,ACC 
22338948,ACC 
22340501,ACC 
22340631,ACC 
22341279,ACC 
22341309,ACC 
22001195,ACTT
22001227,ACTT
22001231,ACTT
22001234,ACTT
22001245,ACTT
22002082,ACTT
22007803,ACTT
22046998,ACTT
22060720,ACTT
22072622,ACTT
22072625,ACTT
22074500,ACTT
22076607,ACTT
22086619,ACTT
22087549,ACTT
22092210,ACTT
22093716,ACTT
22093723,ACTT
22093755,ACTT
22093958,ACTT
22093968,ACTT
22093981,ACTT
22094162,ACTT
22101052,ACTT
22101056,ACTT
22106487,ACTT
22107660,ACTT
22113854,ACTT
22177770,ACTT
22177773,ACTT
22194980,ACTT
22222272,ACTT
22228177,ACTT
22236543,ACTT
22241623,ACTT
22241642,ACTT
22241654,ACTT
22243669,ACTT
22264369,ACTT
22269223,ACTT
22271484,ACTT
22328595,ACTT
22340478,ACTT
22000234,ADVI
22000238,ADVI
22000325,ADVI
22000345,ADVI
22000777,ADVI
22000779,ADVI
22000889,ADVI
22000944,ADVI
22000989,ADVI
22000996,ADVI
22001281,ADVI
22001378,ADVI
22001449,ADVI
22001517,ADVI
22001615,ADVI
22001699,ADVI
22001728,ADVI
22001769,ADVI
22001892,ADVI
22002074,ADVI
22002351,ADVI
22002842,ADVI
22003115,ADVI
22003191,ADVI
22003428,ADVI
22003586,ADVI
22003637,ADVI
22003727,ADVI
22003735,ADVI
22003747,ADVI
22003758,ADVI
22003764,ADVI
22003768,ADVI
22003997,ADVI
22004003,ADVI
22004191,ADVI
22004298,ADVI
22004319,ADVI
22004543,ADVI
22004578,ADVI
22004587,ADVI
22004605,ADVI
22004644,ADVI
22004654,ADVI
22004658,ADVI
22004668,ADVI
22004673,ADVI
22004684,ADVI
22004725,ADVI
22004835,ADVI
22005445,ADVI
22005460,ADVI
22005475,ADVI
22005508,ADVI
22005627,ADVI
22005635,ADVI
22005640,ADVI
22005659,ADVI
22005712,ADVI
22005758,ADVI
22005798,ADVI
22005817,ADVI
22005835,ADVI
22005889,ADVI
22005933,ADVI
22006019,ADVI
22006054,ADVI
22006363,ADVI
22006418,ADVI
22006510,ADVI
22006526,ADVI
22006559,ADVI
22006566,ADVI
22006887,ADVI
22006980,ADVI
22007045,ADVI
22007077,ADVI
22007098,ADVI
22007162,ADVI
22007238,ADVI
22007299,ADVI
22007442,ADVI
22007549,ADVI
22007599,ADVI
22007633,ADVI
22007751,ADVI
22007854,ADVI
22007873,ADVI
22007918,ADVI
22007928,ADVI
22008088,ADVI
22008159,ADVI
22008195,ADVI
22008256,ADVI
22008323,ADVI
22008412,ADVI
22008429,ADVI
22008453,ADVI
22008479,ADVI
22008610,ADVI
22008668,ADVI
22008669,ADVI
22008681,ADVI
22008725,ADVI
22008728,ADVI
22008753,ADVI
22008789,ADVI
22008906,ADVI
22008927,ADVI
22008982,ADVI
22008989,ADVI
22009051,ADVI
22009108,ADVI
22009129,ADVI
22009192,ADVI
22009221,ADVI
22009253,ADVI
22009264,ADVI
22009463,ADVI
22009470,ADVI
22009569,ADVI
22009621,ADVI
22009691,ADVI
22009847,ADVI
22009871,ADVI
22009877,ADVI
22009938,ADVI
22010296,ADVI
22010317,ADVI
22010428,ADVI
22010499,ADVI
22010508,ADVI
22010531,ADVI
22010757,ADVI
