DateTime,Precipitation Type,Snow,Snow Depth,Conditions
2024-08-18,none,0.0,0.0,Partially cloudy
2024-08-19,none,0.0,0.0,Partially cloudy
2024-08-20,none,0.0,0.0,Partially cloudy
2024-08-21,none,0.0,0.0,Partially cloudy
2024-08-22,rain,0.0,0.0,Rain - Overcast
2024-08-23,rain,0.0,0.0,Rain - Partially Cloudy
2024-08-24,rain,0.0,0.0,Rain - Partially Cloudy
2024-08-25,none,0.0,0.0,Clear
2024-08-26,none,0.0,0.0,Partially cloudy
2024-08-27,none,0.0,0.0,Partially cloudy
2024-08-28,none,0.0,0.0,Clear
2024-08-29,none,0.0,0.0,Clear
2024-08-30,none,0.0,0.0,Clear
2024-08-31,none,0.0,0.0,Partially cloudy
2024-09-01,none,0.0,0.0,Partially cloudy
2024-09-02,none,0.0,0.0,Partially cloudy
2024-09-03,none,0.0,0.0,Partially cloudy
2024-09-04,none,0.0,0.0,Partially cloudy
2024-09-05,none,0.0,0.0,Clear
2024-09-06,none,0.0,0.0,Partially cloudy
2024-09-07,none,0.0,0.0,Partially cloudy
2024-09-08,none,0.0,0.0,Partially cloudy
2024-09-09,none,0.0,0.0,Partially cloudy
2024-09-10,none,0.0,0.0,Partially cloudy
2024-09-11,rain,0.0,0.0,Rain - Overcast
2024-09-12,none,0.0,0.0,Partially cloudy
2024-09-13,none,0.0,0.0,Partially cloudy
2024-09-14,none,0.0,0.0,Partially cloudy
2024-09-15,none,0.0,0.0,Partially cloudy
2024-09-16,none,0.0,0.0,Partially cloudy
2024-09-17,rain,0.0,0.0,Rain - Partially Cloudy
2024-09-18,rain,0.0,0.0,Rain - Partially Cloudy
2024-09-19,none,0.0,0.0,Partially cloudy
2024-09-20,none,0.0,0.0,Partially cloudy
2024-09-21,none,0.0,0.0,Clear
2024-09-22,none,0.0,0.0,Partially cloudy
2024-09-23,none,0.0,0.0,Partially cloudy
2024-09-24,none,0.0,0.0,Partially cloudy
2024-09-25,rain,0.0,0.0,Rain - Partially Cloudy
2024-09-26,rain,0.0,0.0,Rain - Partially Cloudy
2024-09-27,rain,0.0,0.0,Rain - Partially Cloudy
2024-09-28,none,0.0,0.0,Partially cloudy
2024-09-29,none,0.0,0.0,Partially cloudy
2024-09-30,none,0.0,0.0,Clear
2024-10-01,none,0.0,0.0,Clear
2024-10-02,none,0.0,0.0,Partially cloudy
2024-10-03,none,0.0,0.0,Clear
2024-10-04,rain,0.0,0.0,Rain - Partially Cloudy
2024-10-05,none,0.0,0.0,Partially cloudy
2024-10-06,none,0.0,0.0,Clear
2024-10-07,none,0.0,0.0,Partially cloudy
2024-10-08,none,0.0,0.0,Partially cloudy
2024-10-09,none,0.0,0.0,Partially cloudy
2024-10-10,none,0.0,0.0,Partially cloudy
2024-10-11,none,0.0,0.0,Partially cloudy
2024-10-12,none,0.0,0.0,Partially cloudy
2024-10-13,none,0.0,0.0,Partially cloudy
2024-10-14,none,0.0,0.0,Partially cloudy
