Incident Number,Close Code
15009604,    
15010887,    
15019248,    
15025227,    
15025271,    
15025661,    
15027396,    
15045926,    
15047028,    
15047618,    
15049123,    
15052899,    
15077170,    
15097835,    
15108168,    
15113204,    
15114983,    
15125814,    
15140073,    
15145608,    
15148365,    
15148374,    
15148377,    
15148389,    
15163757,    
15163807,    
15164783,    
15164893,    
15192224,    
15019696,ABAN
15150678,ABAN
15201625,ABAN
15276199,ABAN
15008945,ACC 
15030803,ACC 
15241728,ACC 
15289427,ACC 
15000566,ACC 
15000599,ACC 
15002343,ACC 
15007721,ACC 
15009030,ACC 
15012069,ACC 
15013522,ACC 
15014509,ACC 
15014580,ACC 
15015463,ACC 
15016452,ACC 
15019336,ACC 
15019576,ACC 
15019837,ACC 
15021401,ACC 
15021606,ACC 
15022363,ACC 
15022880,ACC 
15026468,ACC 
15028331,ACC 
15029027,ACC 
15029580,ACC 
15030609,ACC 
15030947,ACC 
15033710,ACC 
15035526,ACC 
15036392,ACC 
15038980,ACC 
15040850,ACC 
15041803,ACC 
15042305,ACC 
15042380,ACC 
15042687,ACC 
15043063,ACC 
15043225,ACC 
15047110,ACC 
15047846,ACC 
15053251,ACC 
15054436,ACC 
15054757,ACC 
15057355,ACC 
15058458,ACC 
15058540,ACC 
15059518,ACC 
15059988,ACC 
15063517,ACC 
15064487,ACC 
15066209,ACC 
15066853,ACC 
15066903,ACC 
15069445,ACC 
15069822,ACC 
15070197,ACC 
15073036,ACC 
15073082,ACC 
15076408,ACC 
15076779,ACC 
15077571,ACC 
15077598,ACC 
15077896,ACC 
15077991,ACC 
15078922,ACC 
15079228,ACC 
15081756,ACC 
15083139,ACC 
15084368,ACC 
15084528,ACC 
15085502,ACC 
15089894,ACC 
15090537,ACC 
15091589,ACC 
15092606,ACC 
15094727,ACC 
15095512,ACC 
15096370,ACC 
15096492,ACC 
15098082,ACC 
15100975,ACC 
15101701,ACC 
15102591,ACC 
15103202,ACC 
15106651,ACC 
15107704,ACC 
15112767,ACC 
15113175,ACC 
15114506,ACC 
15114694,ACC 
15114767,ACC 
15115074,ACC 
15118706,ACC 
15118763,ACC 
15121031,ACC 
15121129,ACC 
15121159,ACC 
15121974,ACC 
15122387,ACC 
15122731,ACC 
15127849,ACC 
15129317,ACC 
15131100,ACC 
15131205,ACC 
15131927,ACC 
15132180,ACC 
15135563,ACC 
15140197,ACC 
15140977,ACC 
15141069,ACC 
15141100,ACC 
15142743,ACC 
15142798,ACC 
15142830,ACC 
15143845,ACC 
15143972,ACC 
15145606,ACC 
15147089,ACC 
15148165,ACC 
15148219,ACC 
15148434,ACC 
15150185,ACC 
15150279,ACC 
15150755,ACC 
15150890,ACC 
15151639,ACC 
15153634,ACC 
15156577,ACC 
15158744,ACC 
15160581,ACC 
15163275,ACC 
15163429,ACC 
15164185,ACC 
15164814,ACC 
15165361,ACC 
15165373,ACC 
15167098,ACC 
15169509,ACC 
15169964,ACC 
15170221,ACC 
15170608,ACC 
15173834,ACC 
15176281,ACC 
15176456,ACC 
15177427,ACC 
15177711,ACC 
15178534,ACC 
15180117,ACC 
15180126,ACC 
15181368,ACC 
15182408,ACC 
15182606,ACC 
15182808,ACC 
15183596,ACC 
15183969,ACC 
15184304,ACC 
15184709,ACC 
15185107,ACC 
15186874,ACC 
15194327,ACC 
15196098,ACC 
15197325,ACC 
15199919,ACC 
15200611,ACC 
15200874,ACC 
15203892,ACC 
15204175,ACC 
15204973,ACC 
15205116,ACC 
15206804,ACC 
15208555,ACC 
15209332,ACC 
15210038,ACC 
15213893,ACC 
15214011,ACC 
15215385,ACC 
15216726,ACC 
15216798,ACC 
15217285,ACC 
15219086,ACC 
15220855,ACC 
15222961,ACC 
15223293,ACC 
15227125,ACC 
15229729,ACC 
15231886,ACC 
15233318,ACC 
15237286,ACC 
15237705,ACC 
15240153,ACC 
15240280,ACC 
15242494,ACC 
15244296,ACC 
15247147,ACC 
15248518,ACC 
15248802,ACC 
15256044,ACC 
15258282,ACC 
15258455,ACC 
15259064,ACC 
15261192,ACC 
15261932,ACC 
15263701,ACC 
15265232,ACC 
15267012,ACC 
15269318,ACC 
15271168,ACC 
15273251,ACC 
15274037,ACC 
15274049,ACC 
15274068,ACC 
15274142,ACC 
15274697,ACC 
15274724,ACC 
15274857,ACC 
15278037,ACC 
15278041,ACC 
15278261,ACC 
15278833,ACC 
15279579,ACC 
15280899,ACC 
15280905,ACC 
15284227,ACC 
15285695,ACC 
15288772,ACC 
15290469,ACC 
15291102,ACC 
15291374,ACC 
15291521,ACC 
15293155,ACC 
15294838,ACC 
15295360,ACC 
15295903,ACC 
15296415,ACC 
15297317,ACC 
15299492,ACC 
15300326,ACC 
15301100,ACC 
15302470,ACC 
15304281,ACC 
15305198,ACC 
15305636,ACC 
15306138,ACC 
15224508,ACTT
15000032,ADVI
15000036,ADVI
15000156,ADVI
15000204,ADVI
15000228,ADVI
15000554,ADVI
15000602,ADVI
15000782,ADVI
15000807,ADVI
15000849,ADVI
15000887,ADVI
15001018,ADVI
15001054,ADVI
15001139,ADVI
15001649,ADVI
15001786,ADVI
15001924,ADVI
15002017,ADVI
15002250,ADVI
15002389,ADVI
15002410,ADVI
15002455,ADVI
15002485,ADVI
15002522,ADVI
15002534,ADVI
15002548,ADVI
15002996,ADVI
15003027,ADVI
15003044,ADVI
15003051,ADVI
15003232,ADVI
15003499,ADVI
15003525,ADVI
15003623,ADVI
15003773,ADVI
15003875,ADVI
15003887,ADVI
15003901,ADVI
15003958,ADVI
15004077,ADVI
15004097,ADVI
15004651,ADVI
15004709,ADVI
15004719,ADVI
15004749,ADVI
15004803,ADVI
15005002,ADVI
15005396,ADVI
15006129,ADVI
15006193,ADVI
15006241,ADVI
15006257,ADVI
15006605,ADVI
15006690,ADVI
15006748,ADVI
15006786,ADVI
15006832,ADVI
15006869,ADVI
15007071,ADVI
15007076,ADVI
15007091,ADVI
15007149,ADVI
15007177,ADVI
15007326,ADVI
15007410,ADVI
15007843,ADVI
15007891,ADVI
15007939,ADVI
15008012,ADVI
15008228,ADVI
15008461,ADVI
15008509,ADVI
15008532,ADVI
15008552,ADVI
15008891,ADVI
15009099,ADVI
15009315,ADVI
15009332,ADVI
15009341,ADVI
15009443,ADVI
15009587,ADVI
15009633,ADVI
15009903,ADVI
15009928,ADVI
15009967,ADVI
15009973,ADVI
15010040,ADVI
15010143,ADVI
15010152,ADVI
15010456,ADVI
15010473,ADVI
15010489,ADVI
15010532,ADVI
15010616,ADVI
15010703,ADVI
15010770,ADVI
15010809,ADVI
15010890,ADVI
15010893,ADVI
15011157,ADVI
15011546,ADVI
15011757,ADVI
15011770,ADVI
15011771,ADVI
15011795,ADVI
15011885,ADVI
15012211,ADVI
15012598,ADVI
15012629,ADVI
15012646,ADVI
15012666,ADVI
15012725,ADVI
15012751,ADVI
15012758,ADVI
15012849,ADVI
15013004,ADVI
15013402,ADVI
15013408,ADVI
15013410,ADVI
15013456,ADVI
15013458,ADVI
15013466,ADVI
15013474,ADVI
15013482,ADVI
15013500,ADVI
15013531,ADVI
15013955,ADVI
15014046,ADVI
15014244,ADVI
15014261,ADVI
15014644,ADVI
15014671,ADVI
15014863,ADVI
15015120,ADVI
15015215,ADVI
15015219,ADVI
15015304,ADVI
15015428,ADVI
15015456,ADVI
15015469,ADVI
15015476,ADVI
15015526,ADVI
15015527,ADVI
15015531,ADVI
15015545,ADVI
15015549,ADVI
15015599,ADVI
15015752,ADVI
15015834,ADVI
15015864,ADVI
15016042,ADVI
15016153,ADVI
15016166,ADVI
15016230,ADVI
15016297,ADVI
15016300,ADVI
15016303,ADVI
15016313,ADVI
15016315,ADVI
15016316,ADVI
15016323,ADVI
15016342,ADVI
15016344,ADVI
15016503,ADVI
15016608,ADVI
15016667,ADVI
15016694,ADVI
15016950,ADVI
15017055,ADVI
15017058,ADVI
15017144,ADVI
15017342,ADVI
15017529,ADVI
15017610,ADVI
15017791,ADVI
15017887,ADVI
15017942,ADVI
15018038,ADVI
15018308,ADVI
15018643,ADVI
15018644,ADVI
15018675,ADVI
15018676,ADVI
15018697,ADVI
15018777,ADVI
15018790,ADVI
15018902,ADVI
15018925,ADVI
15019009,ADVI
15019067,ADVI
15019121,ADVI
15019127,ADVI
15019241,ADVI
15019469,ADVI
15019549,ADVI
15019725,ADVI
15019842,ADVI
15019878,ADVI
15020251,ADVI
15020269,ADVI
15020279,ADVI
15020357,ADVI
15020413,ADVI
15020454,ADVI
15020877,ADVI
15021042,ADVI
15021055,ADVI
15021164,ADVI
15021172,ADVI
15021201,ADVI
15021331,ADVI
15021478,ADVI
15021820,ADVI
15021936,ADVI
15021983,ADVI
15021994,ADVI
15022001,ADVI
15022019,ADVI
